version,name,bytes,drift_class
20260823072739,seus_e04_energy_projects_interconnection_pipeline,11351,A (absent from repo)
20260823072927,seus_e05_energy_commercial_contracts,11471,A (absent from repo)
20260823073110,seus_e06_energy_operations_telemetry,14875,A (absent from repo)
20260823073246,seus_e07_environmental_attributes_sustainability,15372,A (absent from repo)
20260823073422,seus_e08_energy_finance_capital_readiness,12715,A (absent from repo)
20260823073639,seus_e09_portfolio_risk_scenario_decisioning,16203,A (absent from repo)
20260823073833,seus_e10_energy_rbac_rls_application_access,10946,A (absent from repo)
20260823075506,hei_security_hardening_001,1016,B (repo holds same name under different stamp)
20260824034845,ins_e09_insurance_intelligence,10021,B (repo holds same name under different stamp)
20260824041339,ins_e10_ecosystem_adapters,12106,B (repo holds same name under different stamp)
20260824041748,ins_e11_compliance_authority,11936,A (absent from repo)
20260824044631,ins_e12_production_readiness,7897,B (repo holds same name under different stamp)
20260824124150,seg_master_data_schema_v1,7687,A (absent from repo)
20260824164927,create_segm_government_control_plane,7295,A (absent from repo)
20260824165111,extend_segm_defense_support_controls,7361,A (absent from repo)
20260824165825,seae_e01_core_governance_rights_royalties,11432,A (absent from repo)
20260824170527,segm_07_readiness_authorization_engine,15328,A (absent from repo)
20260824170735,seae_e02_heritage_events_distribution_wim_bridge,11398,A (absent from repo)
20260824231238,seae_e03_access_consent_clearance_settlement,21210,A (absent from repo)
20260825000426,seae_e04_governed_rpc_audit_impact_v2,15895,A (absent from repo)
20260825000526,seae_e04_acceptance_baseline,1243,A (absent from repo)
20260825001238,add_segm_evidence_onboarding_pipeline,3965,A (absent from repo)
20260825033935,setc_media_communications_core_v1,7912,A (absent from repo)
20260825034050,setc_media_communications_ops_v2,5936,A (absent from repo)
20260825034324,setc_media_rbac_v3,10545,A (absent from repo)
20260825034455,setc_media_api_events_v4,6195,A (absent from repo)
20260825034619,setc_media_outbox_v5,3720,A (absent from repo)
20260825035057,setc_media_auth_test_harness_v6,2837,A (absent from repo)
20260825045815,setc_media_public_read_model_v7,1748,A (absent from repo)
20260825050846,setc_media_workspace_capabilities_v8,1625,A (absent from repo)
20260825053114,setc_media_workspace_queues_v9,4764,A (absent from repo)
20260825053819,setc_media_authorization_hardening_v10,10508,A (absent from repo)
20260825054048,setc_media_governed_write_plane_v11,11213,A (absent from repo)
20260825061644,setc_media_reviews_queue_v12,1098,A (absent from repo)
20260825153110,jlc_001_jamaica_logistics_corridor,11351,A (absent from repo)
20260825155916,jlc_002_rgl_wim_integration,3018,A (absent from repo)
20260825160809,jlc_003_verified_gateway_spatial_reconciliation,2876,A (absent from repo)
20260825161211,jlc_004_evidence_resolution_multimodal_activation,3697,A (absent from repo)
20260825161516,jlc_005_government_counterparty_evidence_registry,3150,A (absent from repo)
20260825161906,jlc_006_cabinet_mandate_mou_resolution,3824,A (absent from repo)
20260825162506,jlc_007_transaction_readiness_control,3218,A (absent from repo)
20260825162731,jlc_008_commercial_anchor_cargo_development,5616,A (absent from repo)
20260825163123,jlc_009_external_market_evidence_registry,2917,A (absent from repo)
20260825183233,wealth_advisors_phase_vi_a_core,30139,A (absent from repo)
20260825183442,wealth_advisors_phase_vi_b_hardening,6782,A (absent from repo)
20260825183637,wealth_advisors_phase_vi_c_api_surfaces,8888,A (absent from repo)
20260825190337,wealth_advisors_phase_vi_d3_identity_preapproval,3606,A (absent from repo)
20260825212218,jlc_009b_quantified_gateway_and_anchor_prospect_registry,5771,A (absent from repo)
20260825224217,create_ai_governance_adapter,11941,A (absent from repo)
20260826190826,capitalization_foundation,323,A (absent from repo)
20260826190839,capitalization_treasury_interbank,331,A (absent from repo)
20260826190906,capitalization_settlement_governance,334,A (absent from repo)
20260826190935,capitalization_api_projection_security,336,A (absent from repo)
20260827043824,iotf_sblc_0002_private_platform_readiness,7028,A (absent from repo)
20260827044004,sblc_0002_platform_prescreening_workflow,5322,A (absent from repo)
20260827044159,sblc_0002_platform_intake_controls,4582,A (absent from repo)
20260827044621,rw_v21_explicit_service_only_denies,813,A (absent from repo)
20260828005135,eco_e04_projection_foundation,6275,B (repo holds same name under different stamp)
